Match,Red Win %,Red Auto,Red Climb,Blue Auto,Blue Climb,,Confidence
1,98%,83%,60%,60%,17%,,98%
2,69%,65%,9%,61%,25%,,69%
3,81%,61%,16%,72%,10%,,81%
4,65%,78%,27%,78%,11%,,65%
5,42%,68%,20%,68%,18%,,58%
6,59%,74%,13%,65%,19%,,59%
7,94%,74%,34%,50%,11%,,94%
8,35%,74%,14%,68%,19%,,65%
9,55%,56%,14%,65%,12%,,55%
10,52%,72%,42%,64%,23%,,52%
11,7%,70%,10%,75%,38%,,93%
12,42%,68%,16%,71%,11%,,58%
13,94%,73%,25%,71%,15%,,94%
14,92%,67%,37%,57%,15%,,92%
15,99%,73%,42%,64%,9%,,99%
16,29%,78%,12%,68%,12%,,71%
17,43%,64%,9%,66%,15%,,57%
18,81%,70%,28%,63%,26%,,81%
19,13%,68%,5%,74%,38%,,87%
20,16%,76%,7%,80%,46%,,84%
21,68%,66%,16%,47%,26%,,68%
22,29%,69%,44%,61%,12%,,71%
23,16%,64%,30%,72%,28%,,84%
24,84%,70%,22%,67%,12%,,84%
25,22%,67%,7%,71%,22%,,78%
26,21%,68%,18%,78%,30%,,79%
27,22%,70%,18%,70%,13%,,78%
28,30%,75%,6%,53%,30%,,70%
29,67%,78%,36%,67%,20%,,67%
30,60%,69%,20%,59%,22%,,60%
31,10%,58%,9%,68%,10%,,90%
32,22%,67%,21%,80%,24%,,78%
33,96%,62%,41%,79%,20%,,96%
34,89%,68%,13%,66%,2%,,89%
35,12%,63%,29%,72%,21%,,88%
36,40%,58%,27%,71%,13%,,60%
37,87%,69%,29%,61%,24%,,87%
38,28%,68%,14%,78%,33%,,72%
39,79%,65%,22%,76%,9%,,79%
40,56%,63%,17%,72%,6%,,56%
41,17%,74%,28%,79%,48%,,83%
42,57%,56%,14%,63%,6%,,57%
43,14%,48%,7%,68%,19%,,86%
44,69%,71%,21%,74%,23%,,69%
45,29%,75%,17%,72%,28%,,71%
46,20%,57%,23%,64%,11%,,80%
47,50%,66%,24%,81%,35%,,50%
48,55%,65%,18%,64%,23%,,55%
49,2%,77%,8%,71%,36%,,98%
50,21%,75%,35%,84%,32%,,79%
51,80%,67%,18%,63%,29%,,80%
52,69%,69%,20%,54%,14%,,69%
53,86%,74%,38%,66%,12%,,86%
54,16%,73%,20%,70%,17%,,84%
55,80%,63%,10%,60%,13%,,80%
56,21%,66%,22%,74%,9%,,79%
57,9%,74%,23%,65%,22%,,91%
58,20%,61%,17%,67%,40%,,80%
59,16%,69%,5%,65%,39%,,84%
60,79%,64%,9%,67%,13%,,79%
61,84%,69%,23%,79%,12%,,84%
62,14%,68%,18%,68%,12%,,86%
63,93%,62%,21%,81%,37%,,93%
64,61%,62%,27%,71%,8%,,61%
65,58%,70%,13%,58%,23%,,58%
66,81%,59%,6%,70%,16%,,81%
67,49%,80%,15%,84%,41%,,51%
68,67%,76%,45%,68%,30%,,67%
69,67%,65%,20%,55%,11%,,67%
70,11%,71%,6%,66%,30%,,89%
