Match,Red Win %,Red Auto,Red Climb,Blue Auto,Blue Climb
1,0.98212,0.9494,0.60216,0.94944,0.17342
2,0.6912,0.95052,0.08894,0.95034,0.2509
3,0.8089,0.94908,0.16278,0.95012,0.09192
4,0.65454,0.94806,0.26348,0.95128,0.11962
5,0.42154,0.94822,0.20058,0.94984,0.17718
6,0.60254,0.9526,0.13122,0.95002,0.18872
7,0.94152,0.95176,0.3382,0.94802,0.1078
8,0.34064,0.94978,0.14836,0.95178,0.18162
9,0.54828,0.95046,0.13514,0.95016,0.12322
10,0.52384,0.95044,0.415,0.95052,0.2318
11,0.07156,0.94936,0.09824,0.94698,0.37282
12,0.41692,0.95068,0.15842,0.94906,0.11228
13,0.94064,0.9505,0.2488,0.95098,0.15184
14,0.92344,0.94988,0.37426,0.948,0.15018
15,0.98774,0.95036,0.41418,0.9482,0.09222
16,0.28828,0.94896,0.1311,0.94962,0.1248
17,0.42316,0.95038,0.09094,0.95,0.14418
18,0.80756,0.95014,0.28638,0.95134,0.26568
19,0.12388,0.94848,0.05006,0.9501,0.37638
20,0.17092,0.95158,0.06426,0.95072,0.45594
21,0.68306,0.95138,0.15968,0.94978,0.25724
22,0.29624,0.94964,0.43298,0.9488,0.11854
23,0.15814,0.94868,0.3112,0.95038,0.28506
24,0.84086,0.9508,0.22118,0.95016,0.11892
25,0.21538,0.94996,0.07418,0.94938,0.22136
26,0.21052,0.9498,0.17956,0.9509,0.28756
27,0.22362,0.94866,0.18214,0.94992,0.1283
28,0.2938,0.94852,0.05628,0.94866,0.28768
29,0.65742,0.9498,0.35866,0.95156,0.19678
30,0.60206,0.95042,0.19922,0.95156,0.21832
31,0.1052,0.95132,0.09516,0.95098,0.1013
32,0.21614,0.94974,0.22384,0.94786,0.24122
33,0.95764,0.9498,0.40682,0.95062,0.19898
34,0.89538,0.94948,0.14236,0.95018,0.02402
35,0.11094,0.9505,0.28754,0.94638,0.21344
36,0.39862,0.94762,0.27062,0.94834,0.13704
37,0.87156,0.9502,0.30268,0.94934,0.23878
38,0.28932,0.95092,0.13804,0.9501,0.32764
39,0.78882,0.95118,0.22168,0.9497,0.08646
40,0.55986,0.94956,0.17406,0.94894,0.06192
41,0.16836,0.9497,0.28302,0.95008,0.47796
42,0.57156,0.94916,0.13704,0.94942,0.06074
43,0.13908,0.95036,0.06602,0.9504,0.19834
44,0.69086,0.94972,0.21212,0.95158,0.22782
45,0.29168,0.95042,0.16822,0.95014,0.28346
46,0.21112,0.94944,0.22228,0.94992,0.10456
47,0.507,0.94878,0.234,0.94832,0.34336
48,0.5515,0.95154,0.17644,0.95074,0.2332
49,0.02188,0.94986,0.08792,0.95032,0.34762
50,0.21648,0.9477,0.34668,0.9509,0.32656
51,0.80434,0.94902,0.1777,0.94944,0.28418
52,0.69868,0.95012,0.20362,0.95142,0.14188
53,0.86646,0.95042,0.38432,0.94892,0.12364
54,0.16334,0.95084,0.21606,0.95016,0.17502
55,0.79448,0.95106,0.09578,0.95098,0.12764
56,0.21442,0.9499,0.21162,0.9498,0.09444
57,0.09248,0.94934,0.23044,0.95024,0.22076
58,0.20024,0.94912,0.17472,0.95088,0.4005
59,0.1545,0.95102,0.04552,0.9489,0.39134
60,0.78732,0.94856,0.09078,0.94808,0.13756
61,0.8377,0.95102,0.22776,0.94934,0.13218
62,0.14582,0.9499,0.1724,0.95102,0.11792
63,0.92862,0.9504,0.20524,0.94908,0.36502
64,0.59548,0.94788,0.27002,0.94886,0.07956
65,0.57786,0.94982,0.1257,0.95162,0.21624
66,0.8133,0.9499,0.05648,0.94948,0.15812
67,0.49478,0.94998,0.14944,0.95142,0.42044
68,0.675,0.9504,0.45008,0.94942,0.30608
69,0.6766,0.95064,0.19796,0.95,0.10824
70,0.11122,0.94976,0.06094,0.95052,0.29896
