Event,AvgDP,# Teams
2018abca,27.97142857142857,35
2018alhu,25.093023255813954,43
2018arli,22.345454545454544,55
2018ausc,30.533333333333335,30
2018ausp,26.384615384615383,39
2018azfl,21.516666666666666,60
2018azpx,25.38095238095238,42
2018bcvi,30.533333333333335,30
2018caav,27.166666666666668,36
2018cada,20.83076923076923,65
2018cafr,24.02127659574468,47
2018cair,22.903846153846153,52
2018capo,22.51851851851852,54
2018casd,20.696969696969695,66
2018casf,25.093023255813954,43
2018casj,21.516666666666666,60
2018cave,25.38095238095238,42
2018code,22.807692307692307,52
2018cthar,25.70731707317073,41
2018ctsct,30.533333333333335,30
2018ctwat,29.15625,32
2018flor,20.953125,64
2018flwp,22.345454545454544,55
2018gaalb,33.30769230769231,26
2018gacol,28.666666666666668,33
2018gadal,27.135135135135137,37
2018gadul,27.135135135135137,37
2018gagai,25.9,40
2018gush,27.97142857142857,35
2018hiho,27.135135135135137,37
2018iacf,21.37704918032787,61
2018idbo,26.384615384615383,39
2018ilch,22.37037037037037,54
2018ilpe,27.0,37
2018inmis,26.025,40
2018inpla,27.742857142857144,35
2018inwla,27.38888888888889,36
2018isde1,28.41176470588235,34
2018isde2,27.38888888888889,36
2018isde3,29.40625,32
2018isde4,26.736842105263158,38
2018lake,22.345454545454544,55
2018mabos,25.38095238095238,42
2018mabri,25.7,40
2018marea,25.825,40
2018mawor,25.51219512195122,41
2018mdedg,26.526315789473685,38
2018mdoxo,26.526315789473685,38
2018melew,25.7,40
2018mialp,26.025,40
2018mibel,25.51219512195122,41
2018micen,26.025,40
2018miesc,26.384615384615383,39
2018mifor,26.384615384615383,39
2018migay,26.025,40
2018migib,26.736842105263158,38
2018migul,26.025,40
2018mike2,26.384615384615383,39
2018miken,26.025,40
2018miket,26.736842105263158,38
2018milak,26.025,40
2018milan,26.025,40
2018milin,26.384615384615383,39
2018miliv,26.025,40
2018milsu,25.7,40
2018mimar,26.025,40
2018mimid,26.025,40
2018mimil,26.025,40
2018mishe,25.70731707317073,41
2018misjo,26.025,40
2018misou,26.025,40
2018mitry,26.025,40
2018mitvc,26.025,40
2018miwat,26.025,40
2018miwmi,25.9,40
2018mndu,21.225806451612904,62
2018mndu2,21.82758620689655,58
2018mnmi,21.516666666666666,60
2018mnmi2,22.37037037037037,54
2018mokc,25.093023255813954,43
2018mokc2,25.093023255813954,43
2018mosl,23.387755102040817,49
2018mxmo,23.770833333333332,48
2018mxto,25.70731707317073,41
2018ncash,29.40625,32
2018ncgre,28.515151515151516,33
2018ncpem,27.135135135135137,37
2018ncwin,29.40625,32
2018ndgf,24.02127659574468,47
2018nhdur,25.70731707317073,41
2018nhgrs,27.97142857142857,35
2018njbri,27.305555555555557,36
2018njfla,26.025,40
2018njski,26.17948717948718,39
2018njtab,26.17948717948718,39
2018nvlv,24.795454545454547,44
2018nyli,27.97142857142857,35
2018nyli2,24.795454545454547,44
2018nyny,23.11764705882353,51
2018nyro,23.32,50
2018nysu,26.025,40
2018nytr,27.97142857142857,35
2018nyut,27.82857142857143,35
2018ohcl,22.345454545454544,55
2018ohmv,21.37704918032787,61
2018okok,21.37704918032787,61
2018onbar,31.821428571428573,28
2018onham,26.526315789473685,38
2018onlon,26.736842105263158,38
2018onnob,29.40625,32
2018onnyo,27.97142857142857,35
2018onosh,26.736842105263158,38
2018onto1,27.135135135135137,37
2018onwat,29.40625,32
2018onwin,27.135135135135137,37
2018orlak,27.38888888888889,36
2018orore,27.135135135135137,37
2018orwil,26.91891891891892,37
2018paca,22.903846153846153,52
2018pahat,29.40625,32
2018paphi,29.967741935483872,31
2018pawch,26.025,40
2018qcmo,22.345454545454544,55
2018rismi,25.51219512195122,41
2018scmb,20.828125,64
2018shmi,24.795454545454547,44
2018tnkn,23.32,50
2018tuis,27.135135135135137,37
2018txda,21.516666666666666,60
2018txel,27.135135135135137,37
2018txho,26.025,40
2018txlu,26.025,40
2018txpa,30.533333333333335,30
2018txsa,23.11764705882353,51
2018utwv,22.807692307692307,52
2018vabla,29.70967741935484,31
2018vagdc,26.394736842105264,38
2018vagle,27.97142857142857,35
2018vahay,26.526315789473685,38
2018vapor,27.135135135135137,37
2018waahs,27.6,35
2018waamv,27.6,35
2018wamou,26.17948717948718,39
2018wasno,27.305555555555557,36
2018waspo,31.357142857142858,28
2018wayak,29.70967741935484,31
2018wila,22.566037735849058,53
2018wimi,22.345454545454544,55
